"Executor Threads","Toggle Freq","Total Calls",min,max
1,0,6.9508152985793e7,6.9439840361176e7,6.9510236916272e7
1,10,6.9505772980582e7,6.9447368337921e7,6.951033961506e7
1,100,6.9506249730946e7,6.9505154939471e7,6.9511317823584e7
1,1000,6.9499032601015e7,6.9485478615317e7,6.9504334675646e7
1,10000,6.9422133203852e7,6.9350595589871e7,6.9431388699131e7
1,100000,6.8704566727704e7,6.8657295993026e7,6.8715085254376e7
1,500000,6.5547818404475e7,6.3002675871314e7,6.5547818404475e7
1,1000000,6.1419263616775e7,6.1327720658728e7,6.1575173420366e7
2,0,1.38917636287027e8,1.38274303436209e8,1.38960280925545e8
2,10,1.38950468860311e8,1.38929793647848e8,1.38963631009085e8
2,100,1.38963128480492e8,1.38713155574191e8,1.38963128480492e8
2,1000,1.38932273730773e8,1.38681794722636e8,1.38949360962076e8
2,10000,1.38665484408897e8,1.38665484408897e8,1.38784828750937e8
2,100000,1.36835752603543e8,1.36256914666667e8,1.3712861103449e8
2,500000,1.27498288675856e8,1.25337149577714e8,1.30424667463913e8
2,1000000,1.21355733393221e8,1.12318848359903e8,1.2173337375951e8
3,0,2.08220837695869e8,2.07646803213139e8,2.08286347500564e8
3,10,2.07041685861972e8,2.07041685861972e8,2.08231733945935e8
3,100,2.08174069612173e8,2.06742528919848e8,2.08254223181373e8
3,1000,2.07866506172269e8,2.06951851286453e8,2.082149652238e8
3,10000,2.07940356131681e8,2.07806087389592e8,2.0806067902905e8
3,100000,2.0369117996924e8,2.03424194519637e8,2.05643044504068e8
3,500000,1.94625282536916e8,1.87858140082856e8,1.94987674106765e8
3,1000000,1.66623886611382e8,1.66623886611382e8,1.82038475238679e8
4,0,2.7309665978714e8,2.71034235305288e8,2.7309665978714e8
4,10,2.71852218307406e8,2.71615927859969e8,2.73339680715433e8
4,100,2.72572120304375e8,2.71506854351233e8,2.73037033907852e8
4,1000,2.73155067237576e8,2.71331729824229e8,2.73363192110613e8
4,10000,2.71396657414786e8,2.70862619721832e8,2.72696328575768e8
4,100000,2.69659585704128e8,2.67026962305226e8,2.69659585704128e8
4,500000,2.44610330894416e8,2.43437061852819e8,2.5483210825602e8
4,1000000,2.1829402151908e8,2.15356347739065e8,2.37279063971791e8
5,0,3.36976971666667e8,3.35667727405538e8,3.36976971666667e8
5,10,3.36959367318829e8,3.36585806323576e8,3.37043408734494e8
5,100,3.36900230188931e8,3.36878839080383e8,3.36982555724256e8
5,1000,3.36844331543852e8,3.36844331543852e8,3.3697526930784e8
5,10000,3.36275084306858e8,3.36098430218535e8,3.36685047395286e8
5,100000,3.30450345895616e8,3.29895973278366e8,3.32650739670762e8
5,500000,3.14867756956278e8,3.01540700587674e8,3.15889357910882e8
5,1000000,2.80135397692702e8,2.66556112757177e8,2.94494479333333e8
6,0,4.04217748510839e8,4.01655450718434e8,4.0423296497178e8
6,10,4.04222067192077e8,4.04137564072649e8,4.04222067192077e8
